evidence_id,section,claim_summary,evidence_type,source,confidence_level,editor_status
EVID-AR-ACT776-2025-AOC-APPROPRIATIONS-SECTIONS,Act 776 of 2025 — Sec. 31; Sec. 34; Special Language Sec. 1–3,"Arkansas Act 776 of 2025 contains FY2026 AOC appropriation line-items for 'Specialty Court/Juvenile Drug Programs' and references Byrne JAG behavioral health collaboration in federal funds sections; special language sections govern conditions/allowable use for these appropriations.
",budget,"{""title"": ""Arkansas Act 776 of 2025 (AOC Appropriations)"", ""issuing_body"": ""Arkansas General Assembly"", ""url"": ""https://arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2025R%2FPublic%2F&file=776.pdf&ddBienniumSession=2025%2F2025R""}",high,pending
EVID-AR-ACT776-2025-S25-SpecialtyCourtProgram-300000-FY2026,AR_FY2026_AOC_DRUG_COURT_ENHANCEMENT_SPECIALTY_COURT_PROGRAM_FUND_ACT776_SEC27 (Act 776 §25),"Act 776 of 2025 appropriates $300,000 from the Specialty Court Program Fund to the Administrative Office of the Courts for costs of the Specialty Court Program and support to the Specialty Court Advisory Committee for the fiscal year ending June 30, 2026.",budget,"{""title"": ""Act 776 of 2025 (SB72) — AOC Appropriation"", ""issuing_body"": ""Arkansas General Assembly"", ""url"": ""https://arkleg.state.ar.us/Acts/FTPDocument?ddBienniumSession=2025%2F2025R&file=776.pdf&path=%2FACTS%2F2025R%2FPublic%2F""}",high,accepted
EVID-AR-ACT776-2025-S27-DrugCourtEnhancement-9190880-FY2026,AR_FY2026_AOC_DRUG_COURT_ENHANCEMENT_SPECIALTY_COURT_PROGRAM_FUND_ACT776_SEC27 (Act 776 §27),"Act 776 of 2025 appropriates federal funds for AOC Drug Court Enhancement totaling $9,190,880 for FY2026 (including operating expense, conference & travel, professional fees, grants & aid, and an adult treatment court program line).",budget,"{""title"": ""Act 776 of 2025 (SB72) — AOC Appropriation"", ""issuing_body"": ""Arkansas General Assembly"", ""url"": ""https://arkleg.state.ar.us/Acts/FTPDocument?ddBienniumSession=2025%2F2025R&file=776.pdf&path=%2FACTS%2F2025R%2FPublic%2F""}",high,accepted
EVID-AR-ACT776-2025-S30-AccountabilityCourtFund-400000-FY2026,AR_FY2026_AOC_ACCOUNTABILITY_COURT_FUND_ACT776_SEC29 (Act 776 §30),"Act 776 of 2025 appropriates $400,000 from the Accountability Court Fund to the Administrative Office of the Courts for Accountability Court expenses for the fiscal year ending June 30, 2026.",budget,"{""title"": ""Act 776 of 2025 (SB72) — AOC Appropriation"", ""issuing_body"": ""Arkansas General Assembly"", ""url"": ""https://arkleg.state.ar.us/Acts/FTPDocument?ddBienniumSession=2025%2F2025R&file=776.pdf&path=%2FACTS%2F2025R%2FPublic%2F""}",high,accepted
EVID-AR-ACT776-2025-S31-AdultDrugCourt-1000000-FY2026,AR_FY2026_AOC_ADULT_DRUG_COURT_EXPENSES_CASH_FUND_ACT776_SEC30 (Act 776 §31),"Act 776 of 2025 appropriates $1,000,000 to the Administrative Office of the Courts for Adult Drug Court expenses (operating expenses and grants & aid) for the fiscal year ending June 30, 2026.",budget,"{""title"": ""Act 776 of 2025 (SB72) — AOC Appropriation"", ""issuing_body"": ""Arkansas General Assembly"", ""url"": ""https://arkleg.state.ar.us/Acts/FTPDocument?ddBienniumSession=2025%2F2025R&file=776.pdf&path=%2FACTS%2F2025R%2FPublic%2F""}",high,accepted
EVID-AR-ACT776-2025-S32-SpecialtyCourts-4500000-FY2026,AR_FY2026_AOC_SPECIALTY_COURTS_STATE_CENTRAL_SERVICES_ACT776_SEC31 (Act 776 §32),"Act 776 of 2025 appropriates $4,500,000 from the State Central Services Fund to the Administrative Office of the Courts for operating expenses and grants for specialty courts for the fiscal year ending June 30, 2026.",budget,"{""title"": ""Act 776 of 2025 (SB72) — AOC Appropriation"", ""issuing_body"": ""Arkansas General Assembly"", ""url"": ""https://arkleg.state.ar.us/Acts/FTPDocument?ddBienniumSession=2025%2F2025R&file=776.pdf&path=%2FACTS%2F2025R%2FPublic%2F""}",high,accepted
EVID-AR-ACT776-2025-S34-ByrneJAG-150000-FY2026,AR_FY2026_AOC_BYRNE_JAG_BEHAVIORAL_HEALTH_COLLAB_FEDERAL_FUNDS_ACT776_SEC34,"Act 776 of 2025 appropriates $150,000 in federal funds to the Administrative Office of the Courts for grants and aid to improve collaborative efforts with behavioral health and criminal justice stakeholders for the fiscal year ending June 30, 2026.",budget,"{""title"": ""Act 776 of 2025 (SB72) — AOC Appropriation"", ""issuing_body"": ""Arkansas General Assembly"", ""url"": ""https://arkleg.state.ar.us/Acts/FTPDocument?ddBienniumSession=2025%2F2025R&file=776.pdf&path=%2FACTS%2F2025R%2FPublic%2F""}",high,accepted
EVID-AR-ACT776-2025-S36-ASP-AOC-DOT402-FundTransfer-MatchRestriction,AR_FY2026_ASP_TO_AOC_FEDERAL_DOT_SAFETY_FUNDS_PASS_THROUGH_ACT776_SEC36,Act 776 of 2025 contains special language allowing federal DOT safety incentive funds received by Arkansas State Police under 23 U.S.C. §402 to be granted to AOC and deposited into the State Central Services Fund to reimburse AOC Continuing Education Program expenditures; it also states the funds may not be used for match required by other funding sources.,administrative_rule,"{""title"": ""Act 776 of 2025 (SB72) — AOC Appropriation"", ""issuing_body"": ""Arkansas General Assembly"", ""url"": ""https://arkleg.state.ar.us/Acts/FTPDocument?ddBienniumSession=2025%2F2025R&file=776.pdf&path=%2FACTS%2F2025R%2FPublic%2F""}",high,accepted
EVID-AR-ACT890-2025-DHS-DAABHS-CRISIS-SERVICES,Act 890 of 2025 — DHS DAABHS appropriation items incl. crisis services and related line-items,"Arkansas Act 890 of 2025 contains FY2026 DHS Division of Aging, Adult, and Behavioral Health Services (DAABHS) appropriations, including items referenced in-thread such as Substance Abuse Prevention and Alcohol and Drug Abuse Coordinating Council state funds line-items.
",budget,"{""title"": ""Arkansas Act 890 of 2025 (DHS DAABHS Appropriations)"", ""issuing_body"": ""Arkansas General Assembly"", ""url"": ""https://arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2025R%2FPublic%2F&file=890.pdf&ddBienniumSession=2025%2F2025R""}",high,pending
EVID-AR-ACT890-2025-S9-DAABHS-CrisisServices-5000000-FY2026,AR_FY2026_DHS_DAABHS_CRISIS_SERVICES_ACT890_ITEM,"Act 890 of 2025 appropriates $5,000,000 from the State Central Services Fund to the Department of Human Services, Division of Aging, Adult, and Behavioral Health Services (DAABHS) for Crisis Services for the fiscal year ending June 30, 2026.",budget,"{""title"": ""Act 890 of 2025 — DHS DAABHS Appropriation"", ""issuing_body"": ""Arkansas General Assembly"", ""url"": ""https://www.arkleg.state.ar.us/Acts/FTPDocument?ddBienniumSession=2025%2F2025R&file=890.pdf&path=%2FACTS%2F2025R%2FPublic%2F""}",high,accepted
EVID-AR-ALC-2025-02-26-DHS-GrantsReview-ARM180-FaithBasedTreatment-A04-100000,AR_FY2025_DHS_DAABHS_SUBGRANTS_FAITH_BASED_TREATMENT_INITIATIVES_FEDERAL_FUNDS_GRANTS_REVIEW_2025_02_26,"A DHS Grants for Review document dated February 26, 2025 lists a DAABHS subgrant for ARM180 (federal 100%) for Faith-Based Treatment Initiatives, Amendment #A04, Amendment Amount $100,000.",grant,"{""title"": ""DHS Grants for Review — February 26, 2025"", ""issuing_body"": ""Arkansas Legislative Council / Arkansas General Assembly (meeting attachments)"", ""url"": ""https://arkleg.state.ar.us/Home/FTPDocument?path=%2FAssembly%2FMeeting+Attachments%2F024%2F27083%2FN.+discretionary+grants.pdf""}",high,accepted
EVID-AR-LegAudit-2025-BudgetHearings-AOC-FY2022-Finding-AppropriationMisuse,AR_FY2026_AOC_SPECIALTY_COURTS_STATE_CENTRAL_SERVICES_ACT776_SEC31 (Audit finding re: appropriations use; not specialty-court specific),"Arkansas Legislative Audit summarized a finding (AOC, year ended June 30, 2022) stating that AOC used appropriations for one purpose for another purpose (reimbursements vs dependency-neglect professional fees), and referenced a statutory transfer cap of not more than $4 million in Ark. Code Ann. § 16-10-310(d)(1) as a potential solution.",field_validation,"{""title"": ""Audit Findings for Budget Hearings — 2025 Regular Session"", ""issuing_body"": ""Arkansas Legislative Audit / Arkansas General Assembly (budget manuals)"", ""url"": ""https://www.arkleg.state.ar.us/Home/FTPDocument?path=%2FAssembly%2F2025%2FSummary+Budget+Manuals%2FAudit+Findings+for+Budget+Hearings+-+2025+Regular+Session.pdf""}",high,accepted
EVID-AR-SB472-S1-2015-DrugCourtProgramUserFeeCap-20PerMonth,AR_FY2026_AOC_DRUG_COURT_ENHANCEMENT_SPECIALTY_COURT_PROGRAM_FUND_ACT776_SEC27 (Quantified constraint: monthly fee cap),SB472-S1 (2015) includes language that a drug court program user fee may be assessed but shall not exceed $20 per month.,statute,"{""title"": ""SB472-S1 (2015) — Amendment (drug court user fee cap)"", ""issuing_body"": ""Arkansas General Assembly"", ""url"": ""https://arkleg.state.ar.us/Home/FTPDocument?path=%2FAMEND%2F2015%2FPublic%2FSB472-S1.pdf""}",high,accepted
EVID-AR-SB472-S1-2015-SpecialtyCourtProgramFund-ExclusiveUses,AR_FY2026_AOC_DRUG_COURT_ENHANCEMENT_SPECIALTY_COURT_PROGRAM_FUND_ACT776_SEC27 (Statutory fund-use constraint),"An Arkansas legislative amendment (SB472-S1, 2015) states that the Specialty Court Program Fund shall be used exclusively for specified purposes, including treatment services and supervision services for specialty court program participants and drug and mental health crisis intervention centers.",statute,"{""title"": ""SB472-S1 (2015) — Amendment (Specialty Court Program Fund language)"", ""issuing_body"": ""Arkansas General Assembly"", ""url"": ""https://arkleg.state.ar.us/Home/FTPDocument?path=%2FAMEND%2F2015%2FPublic%2FSB472-S1.pdf""}",high,accepted
EVID-AR-SB472-S1-2015-SpecialtyCourtUserFee-125,AR_FY2026_AOC_SPECIALTY_COURTS_STATE_CENTRAL_SERVICES_ACT776_SEC31 (Quantified constraint: participant fee),SB472-S1 (2015) includes language stating a specialty court program user fee of $125 shall be assessed on a specialty court program participant at the time of admittance into the program (for deposit into the specialty court program fund).,statute,"{""title"": ""SB472-S1 (2015) — Amendment (specialty court user fee)"", ""issuing_body"": ""Arkansas General Assembly"", ""url"": ""https://arkleg.state.ar.us/Home/FTPDocument?path=%2FAMEND%2F2015%2FPublic%2FSB472-S1.pdf""}",high,accepted
EVID-AR-Senate-2025-11-25-RHTP-HEART-Approx150M,MF-AR-RHTP-HEART-2026,"An Arkansas Senate post (Nov 25, 2025) describes the HEART initiative in Arkansas' RHT proposal as costing approximately $150 million, and notes $10 million for school-based clinics and mobile care units.",grant,"{""title"": ""Rural Health Transformation (RHT) Program"", ""issuing_body"": ""Arkansas Senate"", ""url"": ""https://senate.arkansas.gov/senate-news/posts/2025/november/rural-health-transformation-rht-program/""}",high,accepted
EVID-AR-Senate-2025-11-25-RHTP-PACT-400M,MF-AR-RHTP-PACT-2026,"An Arkansas Senate post (Nov 25, 2025) describes the PACT initiative in Arkansas' RHT proposal as costing $400 million.",grant,"{""title"": ""Rural Health Transformation (RHT) Program"", ""issuing_body"": ""Arkansas Senate"", ""url"": ""https://senate.arkansas.gov/senate-news/posts/2025/november/rural-health-transformation-rht-program/""}",high,accepted
EVID-AR-Senate-2025-11-25-RHTP-Proposal-TotalRequest-1B-5Years,MF-AR-RHTP-Y1-2026,"An Arkansas Senate post (Nov 25, 2025) states Arkansas applied for $1 billion in RHT Program funding to be paid out in installments over five years.",grant,"{""title"": ""Rural Health Transformation (RHT) Program"", ""issuing_body"": ""Arkansas Senate"", ""url"": ""https://senate.arkansas.gov/senate-news/posts/2025/november/rural-health-transformation-rht-program/""}",high,accepted
EVID-AR-Senate-2025-11-25-RHTP-RISEAR-Approx161M,MF-AR-RHTP-RISEAR-2026,"An Arkansas Senate post (Nov 25, 2025) describes the RISE AR initiative in Arkansas' RHT proposal as costing approximately $161 million.",grant,"{""title"": ""Rural Health Transformation (RHT) Program"", ""issuing_body"": ""Arkansas Senate"", ""url"": ""https://senate.arkansas.gov/senate-news/posts/2025/november/rural-health-transformation-rht-program/""}",high,accepted
EVID-AR-Senate-2025-11-25-RHTP-THRIVE-Approx267M-EMS-Telehealth-Remote92M,MF-AR-RHTP-THRIVE-2026,"An Arkansas Senate post (Nov 25, 2025) describes the THRIVE strategy in Arkansas' RHT proposal as funded at approximately $267 million and notes nearly $92 million for launching remote pilot programs for chronic diseases.",grant,"{""title"": ""Rural Health Transformation (RHT) Program"", ""issuing_body"": ""Arkansas Senate"", ""url"": ""https://senate.arkansas.gov/senate-news/posts/2025/november/rural-health-transformation-rht-program/""}",high,accepted
EVID-US-DOJ-OJJDP-RHTP-FY23-AWARDS-PACT-AR,RHTP FY23 awards list — Arkansas PACT award entry,"U.S. DOJ OJJDP RHTP FY23 awards document lists a $3,099,792 award to Arkansas for the PACT program (referenced in-thread as NAMI Arkansas + DHS DAABHS involvement).
",grant,"{""title"": ""OJJDP RHTP FY23 Awards"", ""issuing_body"": ""U.S. Department of Justice — Office of Juvenile Justice and Delinquency Prevention (OJJDP)"", ""url"": ""https://ojjdp.ojp.gov/sites/g/files/xyckuh176/files/media/document/rhtp-fy23-awards.pdf""}",high,pending
EVID-US-HHS-CMS-RHTP-FY26-Arkansas-Award-208779396,MF-AR-RHTP-Y1-2026,"An HHS press release (Dec 29, 2025) lists Arkansas' FY26 Rural Health Transformation Program award amount as $208,779,396.",grant,"{""title"": ""CMS Announces $50 Billion in Awards to Strengthen Rural Health in All 50 States"", ""issuing_body"": ""U.S. Department of Health and Human Services (HHS) / Centers for Medicare & Medicaid Services (CMS)"", ""url"": ""https://www.hhs.gov/press-room/cms-announces-50-billion-in-awards-to-strengthen-rural-health-in-all-50-states.html""}",high,accepted
EVID-US-SAMHSA-SUBG-PrimaryPrevention-20percent,MF-AR-SAMHSA-DHS-ROUTING-2026,"SAMHSA states that SUBG (Substance Use Prevention, Treatment, and Recovery Services Block Grant) grantees must spend no less than 20% of their SUBG allotment on substance use primary prevention strategies.",administrative_rule,"{""title"": ""Substance Use Prevention, Treatment, and Recovery Services Block Grant (SUBG) — Primary Prevention"", ""issuing_body"": ""Substance Abuse and Mental Health Services Administration (SAMHSA)"", ""url"": ""https://www.samhsa.gov/grants/block-grants/subg""}",high,accepted
